10/18/2019                                                                                                                                                                               Dynamic List Display                                                                                                                                                                                       1

ECOLAB

Plant:			US10
Insp.lot origin:			03
Lot created on:			09/18/2019 To 10/18/2019
Insp. start date:			/ /
End of Inspection:			/ /
Maximum No. of Hits:			0
Char. filter:			1
Report name:			ZMQMR01A_INSPECTION_REPORT
Run Date :			10/18/2019
By:			Garrett Lowe

	Inspection type	Status		Inspection Lot	Material	Complaint quantity	Complaint quantity Unit	Refer. Object "Order"	Order Quantity delivered	Unit	Batch object	QATM	Short text	 Ok	Result	Unit QM char.	Lower spec.	Upper spec.	Sample Insp.Point	User Inspector	Insp.date Sample	Info field 3	Sample ID	Timestamp

	03			   30000798837	943803			101127305	              6,881.151	KG	3389JE7100	340-A	Visual		OK		               0	               0	B GV	VIDMAGF	09/19/2019	Appearance of product in a clear, colorl	        1	07:44:14
	03			   30000798837	943803			101127305	              6,881.151	KG	3389JE7100	463-A	Color Spectrophotometer Delta E		             1.0		             0.0	             8.0	B GV	VIDMAGF	09/19/2019	Mode: Transmittance sample preparation:	        1	07:44:14
	03			   30000798837	943803			101127305	              6,881.151	KG	3389JE7100	005-E	Titration at pH 4.0		            12.0	ML	            11.7	            12.8	B GV	VIDMAGF	09/19/2019	10 mL of a 1% soln prepared in a 1000 mL	        1	07:44:14
	03			   30000798837	943803			101127305	              6,881.151	KG	3389JE7100	024-A	Specific Gravity		           1.518		           1.500	           1.530	B GV	VIDMAGF	09/19/2019		        1	07:44:14
	03			   30000798837	943803			101127305	              6,881.151	KG	3389JE7100	INFOADJ	INFO Batch Adjustment				               0	               0	B GV	VIDMAGF	09/19/2019		        1	07:44:14
	03			   30000798837	943803			101127305	              6,881.151	KG	3389JE7100	INFOBOQ	INFO BOQ Comments				               0	               0	B GV	VIDMAGF	09/19/2019		        1	07:44:14
	03			   30000798838	922336			101127296	             16,546.177	KG	3389JE7200	340-A	Visual		OK		               0	               0	BATCH JS	SCHOPJO	09/19/2019		        1	17:47:53
	03			   30000798838	922336			101127296	             16,546.177	KG	3389JE7200	005-E	Titration @ pH 4.0		            6.04	ML	            5.55	            6.80	BATCH JS	SCHOPJO	09/19/2019	10 ml of a 1% solution prepared in a 100	        1	17:47:53
	03			   30000798838	922336			101127296	             16,546.177	KG	3389JE7200	005-F	Titration @ pH 8.3		            6.37	ML	            5.90	            7.30	BATCH JS	SCHOPJO	09/19/2019	10 ml of a 1% solution prepared in a 100	        1	17:47:53
	03			   30000798838	922336			101127296	             16,546.177	KG	3389JE7200	024-A	Specific Gravity		           1.249		           1.228	           1.268	BATCH JS	SCHOPJO	09/19/2019	68 deg F	        1	17:47:53
	03			   30000798838	922336			101127296	             16,546.177	KG	3389JE7200	160-A	Foaming Property Analysis		              0	ML	               0	              10	BATCH JS	SCHOPJO	09/19/2019	Place 200 mls of a 1% solution in a 500	        1	17:47:53
	03			   30000798838	922336			101127296	             16,546.177	KG	3389JE7200	INFOBOQ	INFO BOQ Comments				               0	               0	BATCH JS	SCHOPJO	09/19/2019		        1	17:47:53
	03			   30000798839	942847			101127297	             10,999.243	KG	3389JE7300	340-A	Visual		OK		               0	               0	B GV	VIDMAGF	09/19/2019	Appearance of product in clear, colorles	        1	10:03:33
	03			   30000798839	942847			101127297	             10,999.243	KG	3389JE7300	005-D	Titr to pH XX		            10.5	ML	             9.5	            10.5	B GV	VIDMAGF	09/19/2019	Titrate 10 ml of a 1% solution using  0.	        1	10:03:33
	03			   30000798839	942847			101127297	             10,999.243	KG	3389JE7300	160-A	Foaming Property Analysis		               5	ML	               0	              30	B GV	VIDMAGF	09/19/2019	Prepare a 1% solution of product in D.I.	        1	10:03:33
	03			   30000798839	942847			101127297	             10,999.243	KG	3389JE7300	024-A	Specific Gravity		           1.461		           1.433	           1.473	B GV	VIDMAGF	09/19/2019	at 68 deg F	        1	10:03:33
	03			   30000798839	942847			101127297	             10,999.243	KG	3389JE7300	INFOBOQ	INFO BOQ Comments				               0	               0	B GV	VIDMAGF	09/19/2019		        1	10:03:33
	03			   30000798840	943803			101127302	             18,349.735	KG	3389JE7400	INFOBOQ	INFO BOQ Comments				               0	               0	B GV	VIDMAGF	09/19/2019		        1	17:43:20
	03			   30000798840	943803			101127302	             18,349.735	KG	3389JE7400	INFOADJ	INFO Batch Adjustment				               0	               0	B GV	VIDMAGF	09/19/2019		        1	17:43:20
	03			   30000798840	943803			101127302	             18,349.735	KG	3389JE7400	024-A	Specific Gravity		           1.515		           1.500	           1.530	B GV	VIDMAGF	09/19/2019		        1	17:43:20
	03			   30000798840	943803			101127302	             18,349.735	KG	3389JE7400	005-E	Titration at pH 4.0		            12.1	ML	            11.7	            12.8	B GV	VIDMAGF	09/19/2019	10 mL of a 1% soln prepared in a 1000 mL	        1	17:43:20
